0,0,0,0,0,0,0,0,0,0,0,0,0,0
1765976265173886,0,-4,1.49998,-1.64008,-0.00197519,-0.00786463,0,-0.392265,-1.56629,0,2.12688e-08,0,0
1765976265178897,0,-4.00002,1.49992,-1.64008,-0.00392812,-0.0156848,0,-0.387197,-1.55491,0,1.70238e-07,0,0
1765976265183883,0,-4.00004,1.49982,-1.64008,-0.00584615,-0.0234094,0,-0.382171,-1.54363,0,5.71076e-07,0,0
1765976265188993,0,-4.00008,1.49968,-1.64008,-0.00778592,-0.0312679,0,-0.377035,-1.53209,0,1.37348e-06,0,0
1765976265193985,0,-4.00012,1.49951,-1.64008,-0.00965559,-0.038888,0,-0.372033,-1.52084,0,2.66621e-06,0,0
1765976265199000,0,-4.00018,1.49929,-1.64008,-0.0115088,-0.0464868,0,-0.367024,-1.50958,0,4.59603e-06,0,0
1765976265203999,0,-4.00024,1.49904,-1.64008,-0.0133311,-0.0540051,0,-0.362046,-1.49838,0,7.27184e-06,0,0
1765976265208995,0,-4.00031,1.49876,-1.64008,-0.0151275,-0.0614632,0,-0.357087,-1.48722,0,1.08177e-05,0,0
1765976265214060,0,-4.00039,1.49842,-1.64008,-0.0169234,-0.0689674,0,-0.352074,-1.47594,0,1.54252e-05,0,0
1765976265218894,0,-4.00048,1.49807,-1.64008,-0.0186138,-0.0760761,0,-0.347305,-1.46519,0,2.08873e-05,0,0
1765976265223887,0,-4.00057,1.49768,-1.64008,-0.0203356,-0.0833641,0,-0.342394,-1.45413,0,2.77362e-05,0,0
1765976265228893,0,-4.00068,1.49724,-1.64008,-0.0220373,-0.0906158,0,-0.337485,-1.44306,0,3.59511e-05,0,0
1765976265233892,0,-4.00079,1.49677,-1.64008,-0.0237122,-0.0978021,0,-0.332598,-1.43204,0,4.56182e-05,0,0
1765976265238894,0,-4.00092,1.49626,-1.64008,-0.0253637,-0.104938,0,-0.327724,-1.42105,0,5.68712e-05,0,0
1765976265244020,0,-4.00105,1.49571,-1.64008,-0.0270308,-0.112193,0,-0.322745,-1.40981,0,7.01632e-05,0,0
1765976265249062,0,-4.00119,1.49512,-1.64008,-0.0286458,-0.119274,0,-0.317863,-1.39879,0,8.50937e-05,0,0
1765976265253979,0,-4.00134,1.49452,-1.64008,-0.030197,-0.126125,0,-0.313117,-1.38806,0,0.000101538,0,0
1765976265258906,0,-4.00149,1.49388,-1.64008,-0.0317281,-0.132938,0,-0.308375,-1.37735,0,0.000119991,0,0
1765976265263880,0,-4.00165,1.4932,-1.64008,-0.0332501,-0.139762,0,-0.303604,-1.36656,0,0.000140733,0,0
1765976265268834,0,-4.00182,1.49249,-1.64008,-0.0347424,-0.146505,0,-0.298867,-1.35585,0,0.000163608,0,0
1765976265273902,0,-4.002,1.49173,-1.64008,-0.0362448,-0.153349,0,-0.294035,-1.34492,0,0.000189412,0,0
