1765976261170576,0,-4,1.5,-1.64,1,0,0,0,-4,1.5,-1.63996,1,0,0,0,0,0,-0.000463064,0,0,0,0
1765976261170576,0,-4,1.5,-1.64,1,0,0,0,-4,1.5,-1.63996,1,0,0,0,0,0,-0.000463064,0,0,0,0
1765976261180595,0,-4,1.5,-1.64001,1,0,0,0,-4,1.5,-1.63997,1,0,0,0,0,0,-0.000594916,0,0,0,0
1765976261180595,0,-4,1.5,-1.64001,1,0,0,0,-4,1.5,-1.63997,1,0,0,0,0,0,-0.000594916,0,0,0,0
1765976261190639,0,-4,1.5,-1.64002,1,0,0,0,-4,1.5,-1.63998,1,0,0,0,2.37374e-05,0,-0.000652779,0,0,0,0
1765976261190639,0,-4,1.5,-1.64002,1,0,0,0,-4,1.5,-1.63998,1,0,0,0,2.37374e-05,0,-0.000652779,0,0,0,0
1765976261200667,0,-4,1.5,-1.64003,1,0,0,0,-4,1.5,-1.63998,1,0,0,0,-2.37753e-05,1.18876e-05,-0.00065382,0,0,0,0
1765976261200667,0,-4,1.5,-1.64003,1,0,0,0,-4,1.5,-1.63998,1,0,0,0,-2.37753e-05,1.18876e-05,-0.00065382,0,0,0,0
1765976261210592,0,-4,1.5,-1.64003,1,0,0,0,-4,1.5,-1.63999,1,0,0,0,0,0,-0.000540496,0,0,0,0
1765976261210592,0,-4,1.5,-1.64003,1,0,0,0,-4,1.5,-1.63999,1,0,0,0,0,0,-0.000540496,0,0,0,0
1765976261220647,0,-4,1.5,-1.64002,1,0,0,0,-4,1.5,-1.63999,1,0,0,0,2.37114e-05,0,-0.000343816,0,0,0,0
1765976261220647,0,-4,1.5,-1.64002,1,0,0,0,-4,1.5,-1.63999,1,0,0,0,2.37114e-05,0,-0.000343816,0,0,0,0
1765976261230510,0,-4,1.5,-1.64,1,0,0,0,-4,1.5,-1.63999,1,0,0,0,0,0,-7.25191e-05,0,0,0,0
1765976261230510,0,-4,1.5,-1.64,1,0,0,0,-4,1.5,-1.63999,1,0,0,0,0,0,-7.25191e-05,0,0,0,0
