1765976261163826,0,0,0,-9.81029,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261168928,0,0,0,-9.77962,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261173821,0,0,0,-9.77963,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261178907,0,0,0,-9.77965,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261183922,0,0,0,-9.77966,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261188918,0,0,0,-9.74879,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261193928,0,0,0,-9.74875,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261198916,0,0,0,-9.7487,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261203935,0,0,0,-9.74865,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261208908,0,0,0,-9.72347,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261213920,0,0,0,-9.72338,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261218917,0,0,0,-9.72328,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261223929,0,0,0,-9.72318,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261228820,0,0,0,-9.72349,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261233916,0,0,0,-9.72346,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261238824,0,0,0,-9.72343,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261243911,0,0,0,-9.7234,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261248823,0,0,0,-9.74439,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261253820,0,0,0,-9.74443,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261258818,0,0,0,-9.74446,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261263802,0,0,0,-9.7445,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
1765976261268801,0,0,0,-9.74454,0,0,0,0,0,0,0.707107,0,0,0.707107,0,0,0
