1765976261163840,0,1.59995,1.59946,-0.0251347,0.0138535
1765976261183921,0,1.59998,1.60199,0.126096,0.0187601
1765976261203935,0,1.60001,1.6041,0.105152,0.0226191
1765976261223929,0,1.60002,1.60127,-0.141419,0.0309676
1765976261243916,0,1.60001,1.5985,-0.138558,0.0307806
1765976261263887,0,1.59996,1.59671,-0.0897815,0.00896513
1765976261283883,0,1.59989,1.59698,0.0136522,-0.0267472
1765976261303872,0,1.59981,1.59858,0.0796876,-0.0543508
1765976261323855,0,1.59973,1.59943,0.0425641,-0.0573031
1765976261343870,0,1.59964,1.60083,0.070388,-0.0358499
1765976261363899,0,1.59965,1.60274,0.0953186,-0.00107601
1765976261383893,0,1.59968,1.60223,-0.0257987,0.0338329
1765976261403903,0,1.59975,1.6006,-0.0815044,0.0544012
1765976261423882,0,1.59987,1.59897,-0.081249,0.0498884
1765976261443877,0,1.59988,1.59785,-0.0564001,0.022522
1765976261463880,0,1.59986,1.59856,0.0359362,-0.012546
1765976261483898,0,1.5998,1.60006,0.0746175,-0.0361117
1765976261503877,0,1.59974,1.60005,-0.000459438,-0.0374553
1765976261523889,0,1.59965,1.59978,-0.0134268,-0.0222344
1765976261543880,0,1.59963,1.6,0.0111451,-0.00409627
1765976261563902,0,1.59964,1.60035,0.017439,0.00887376
1765976261583879,0,1.59967,1.5999,-0.0225267,0.015175
1765976261603908,0,1.5997,1.59981,-0.00464838,0.0149065
1765976261623893,0,1.59973,1.59997,0.00811828,0.00975879
1765976261643908,0,1.59974,1.59954,-0.0217751,0.00313607
1765976261663905,0,1.59973,1.59973,0.00962759,-0.0025283
1765976261683927,0,1.59972,1.60005,0.0162006,-0.00566545
1765976261703869,0,1.59971,1.5984,-0.0826849,-0.00658803
1765976261723920,0,1.59969,1.59881,0.0204994,-0.00867486
1765976261743886,0,1.59969,1.60006,0.0622616,-0.0109933
1765976261763892,0,1.5997,1.59921,-0.0425747,-0.00867039
1765976261783891,0,1.59971,1.59993,0.0360686,-0.00259448
1765976261803925,0,1.59974,1.60114,0.0605865,0.00452243
1765976261823886,0,1.5998,1.60019,-0.0477351,0.0122009
1765976261843899,0,1.59983,1.59887,-0.0657131,0.0155672
1765976261863905,0,1.59986,1.59984,0.048301,0.0100664
1765976261883902,0,1.59988,1.59985,0.000697479,0.000886512
1765976261903887,0,1.59989,1.59919,-0.0329921,-0.00513657
1765976261923894,0,1.59989,1.59935,0.00760885,-0.00803693
1765976261943882,0,1.59989,1.59968,0.0166576,-0.00888704
1765976261963874,0,1.5999,1.59945,-0.0116276,-0.00704975
1765976261983910,0,1.59991,1.60097,0.0759724,-0.00233709
1765976262003932,0,1.59994,1.60243,0.0730307,0.00688607
1765976262023868,0,1.59999,1.59934,-0.155147,0.0179289
1765976262043922,0,1.60001,1.59885,-0.0245564,0.0192597
1765976262063902,0,1.60002,1.60029,0.0722893,0.00756449
1765976262083926,0,1.60003,1.60004,-0.0124543,-0.00496655
1765976262103914,0,1.60001,1.60015,0.0053736,-0.0094369
1765976262123900,0,1.59998,1.59897,-0.0590798,-0.00875877
1765976262143900,0,1.59998,1.59901,0.0020504,-0.00874758
1765976262163900,0,1.59997,1.59976,0.0377715,-0.00997462
1765976262183895,0,1.59998,1.60008,0.0160019,-0.00826054
1765976262203919,0,1.59999,1.60099,0.0451202,-0.00138824
1765976262223836,0,1.60004,1.59874,-0.11305,0.0064713
1765976262243871,0,1.60007,1.59823,-0.025014,0.00689464
1765976262263894,0,1.6001,1.60183,0.179555,0.000711165
1765976262283907,0,1.60012,1.60257,0.0370619,0.00191441
1765976262303903,0,1.60018,1.60139,-0.0590681,0.0146848
1765976262323843,0,1.60019,1.59807,-0.166295,0.0227896
1765976262343872,0,1.6002,1.59792,-0.00756478,0.0115682
1765976262363888,0,1.60019,1.6009,0.148619,-0.0103103
1765976262383916,0,1.60018,1.60228,0.0689078,-0.0195781
1765976262403928,0,1.60017,1.60229,0.000434853,-0.00734297
1765976262423901,0,1.60015,1.59994,-0.117699,0.0116525
1765976262443947,0,1.60015,1.5998,-0.00681502,0.0185192
1765976262463923,0,1.60015,1.59993,0.00639729,0.0101778
1765976262483942,0,1.60014,1.59921,-0.0357408,-0.00359292
1765976262503910,0,1.60012,1.59885,-0.0182742,-0.0152346
1765976262523923,0,1.60007,1.59884,-0.000285916,-0.022558
1765976262543848,0,1.60005,1.59786,-0.0490957,-0.0252118
1765976262563945,0,1.60005,1.60067,0.139579,-0.0224185
1765976262583885,0,1.60007,1.6025,0.0920972,-0.00940372
1765976262603881,0,1.60011,1.59958,-0.146251,0.0120671
1765976262623881,0,1.60023,1.60003,0.0222981,0.0261677
1765976262643876,0,1.60028,1.60027,0.0122399,0.0243075
1765976262663877,0,1.60033,1.60041,0.00706876,0.0145373
1765976262683939,0,1.60036,1.60256,0.107153,0.0074999
1765976262703878,0,1.60038,1.60112,-0.0723363,0.00786024
1765976262723899,0,1.60037,1.5988,-0.115803,0.00895123
1765976262743865,0,1.60035,1.59884,0.00186283,0.000352315
1765976262763849,0,1.60032,1.59814,-0.0350338,-0.0159204
1765976262783923,0,1.6003,1.60183,0.183992,-0.0266027
1765976262803921,0,1.60026,1.60385,0.100867,-0.0179196
1765976262823876,0,1.60027,1.60014,-0.185747,0.00697584
1765976262843854,0,1.60028,1.59753,-0.130505,0.0224433
